127.0.0.1 - - [09/Nov/2018:10:15:17 +0800] "GET /yes/LRP_Portal/cc_bzrk.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:46 +0800] "GET /yigo/ HTTP/1.1" 200 3443
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:46 +0800] "POST /yigo/servlet HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:46 +0800] "POST /yigo/servlet HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:47 +0800] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:50 +0800] "POST /yigo/servlet HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:50 +0800] "POST /yigo/servlet HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:50 +0800] "GET /yigo/ HTTP/1.1" 200 1212
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:51 +0800] "POST /yigo/servlet HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:52 +0800] "POST /yigo/servlet HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:52 +0800] "POST /yigo/servlet HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:52 +0800] "POST /yigo/servlet HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:52 +0800] "POST /yigo/servlet HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:52 +0800] "POST /yigo/servlet HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:52 +0800] "POST /yigo/servlet HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:52 +0800] "POST /yigo/servlet HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:52 +0800] "POST /yigo/servlet HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:57 +0800] "POST /yigo/servlet HTTP/1.1" 200 4838
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:57 +0800] "POST /yigo/servlet HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:58 +0800] "POST /yigo/servlet HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:58 +0800] "POST /yigo/servlet HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:58 +0800] "GET /yigo/Resource/new.png HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:58 +0800] "POST /yigo/servlet HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:58 +0800] "POST /yigo/servlet HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:18:58 +0800] "POST /yigo/servlet HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:02 +0800] "POST /yigo/servlet HTTP/1.1" 200 4349
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:02 +0800] "POST /yigo/servlet HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:02 +0800] "POST /yigo/servlet HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:04 +0800] "POST /yigo/servlet HTTP/1.1" 200 4128
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:04 +0800] "POST /yigo/servlet HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:04 +0800] "POST /yigo/servlet HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:04 +0800] "POST /yigo/servlet HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:04 +0800] "GET /yigo/Resource/new.png HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:06 +0800] "POST /yigo/servlet HTTP/1.1" 200 3783
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:06 +0800] "POST /yigo/servlet HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:06 +0800] "POST /yigo/servlet HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:06 +0800] "POST /yigo/servlet HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:06 +0800] "GET /yigo/Resource/new.png HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:12 +0800] "POST /yigo/servlet HTTP/1.1" 200 4838
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:17 +0800] "GET /yigo/Resource/new.png HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:17 +0800] "POST /yigo/servlet HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:17 +0800] "POST /yigo/servlet HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:17 +0800] "POST /yigo/servlet HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:17 +0800] "POST /yigo/servlet HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:17 +0800] "POST /yigo/servlet HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:17 +0800] "GET /yigo/yesui/v2/yesui/ui/res/css/default/images/Grid_icon_normal.png HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:17 +0800] "GET /yigo/yesui/v2/yesui/ui/res/css/default/images/Grid_up_normal.png HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:17 +0800] "GET /yigo/yesui/v2/yesui/ui/res/css/default/images/Grid_width_normal.png HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:17 +0800] "GET /yigo/yesui/v2/yesui/ui/res/css/default/images/Grid_down_normal.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:17 +0800] "GET /yigo/yesui/v2/yesui/ui/res/css/default/images/ListView_icon__normal.png HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:17 +0800] "GET /yigo/yesui/v2/yesui/ui/res/css/default/images/Grid_delete_normal.png HTTP/1.1" 200 940
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:19:30 +0800] "POST /yigo/servlet HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:22:50 +0800] "GET /yigo/ HTTP/1.1" 200 3443
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:22:50 +0800] "POST /yigo/servlet HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:22:50 +0800] "POST /yigo/servlet HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:22:57 +0800] "POST /yigo/servlet HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:22:57 +0800] "POST /yigo/servlet HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:22:57 +0800] "GET /yigo/ HTTP/1.1" 200 1212
0:0:0:0:0:0:0:1 - - [09/Nov/2018:10:22:58 +0800] "POST /yigo/servlet HTTP/1.1" 200 70
